1|Steel|11.0
2|Aluminium|23.1
3|Lead|29.0
4|Copper|17.0
5|Iron|11.8
6|Concrete|12.0
7|Brass|19.0
8|Gold|14.0
9|Silver|18.0
10|Common Glass|8.5
11|Tungsten|4.5
12|Water|69.0
13|PVC|43.2
14|Diamond|1.0
15|Nickel|13.0
16|Platinum|9.0
